season,week,date,time,away_team,home_team,game_url
2010,12,2010-11-25,4:36PM,New Orleans Saints,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201011250dal.htm
2010,12,2010-11-25,8:30PM,Cincinnati Bengals,New York Jets,https://www.pro-football-reference.com/boxscores/201011250nyj.htm
2010,12,2010-11-28,1:02PM,Green Bay Packers,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/201011280atl.htm
2010,12,2010-11-28,1:02PM,Pittsburgh Steelers,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201011280buf.htm
2010,12,2010-11-28,1:02PM,Tennessee Titans,Houston Texans,https://www.pro-football-reference.com/boxscores/201011280htx.htm
2010,12,2010-11-28,1:02PM,Jacksonville Jaguars,New York Giants,https://www.pro-football-reference.com/boxscores/201011280nyg.htm
2010,12,2010-11-28,1:02PM,Minnesota Vikings,Washington Redskins,https://www.pro-football-reference.com/boxscores/201011280was.htm
2010,12,2010-11-28,1:03PM,Carolina Panthers,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201011280cle.htm
2010,12,2010-11-28,4:05PM,Miami Dolphins,Oakland Raiders,https://www.pro-football-reference.com/boxscores/201011280rai.htm
2010,12,2010-11-28,4:06PM,Kansas City Chiefs,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201011280sea.htm
2010,12,2010-11-28,4:15PM,Philadelphia Eagles,Chicago Bears,https://www.pro-football-reference.com/boxscores/201011280chi.htm
2010,12,2010-11-28,4:15PM,Tampa Bay Buccaneers,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/201011280rav.htm
2010,12,2010-11-28,4:16PM,St. Louis Rams,Denver Broncos,https://www.pro-football-reference.com/boxscores/201011280den.htm
2010,12,2010-11-28,8:30PM,San Diego Chargers,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201011280clt.htm
2010,12,2010-11-29,8:40PM,San Francisco 49ers,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/201011290crd.htm
2010,13,2010-12-02,8:30PM,Houston Texans,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201012020phi.htm
2010,13,2010-12-05,1:02PM,Cleveland Browns,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201012050mia.htm
2010,13,2010-12-05,1:02PM,San Francisco 49ers,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201012050gnb.htm
2010,13,2010-12-05,1:02PM,Washington Redskins,New York Giants,https://www.pro-football-reference.com/boxscores/201012050nyg.htm
2010,13,2010-12-05,1:03PM,Chicago Bears,Detroit Lions,https://www.pro-football-reference.com/boxscores/201012050det.htm
2010,13,2010-12-05,1:03PM,New Orleans Saints,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201012050cin.htm
2010,13,2010-12-05,1:03PM,Denver Broncos,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201012050kan.htm
2010,13,2010-12-05,1:03PM,Jacksonville Jaguars,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201012050oti.htm
2010,13,2010-12-05,1:05PM,Buffalo Bills,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201012050min.htm
2010,13,2010-12-05,4:05PM,Oakland Raiders,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201012050sdg.htm
2010,13,2010-12-05,4:15PM,Dallas Cowboys,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201012050clt.htm
2010,13,2010-12-05,4:15PM,St. Louis Rams,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/201012050crd.htm
2010,13,2010-12-05,4:16PM,Atlanta Falcons,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/201012050tam.htm
2010,13,2010-12-05,4:16PM,Carolina Panthers,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201012050sea.htm
2010,13,2010-12-05,8:30PM,Pittsburgh Steelers,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/201012050rav.htm
2010,13,2010-12-06,8:40PM,New York Jets,New England Patriots,https://www.pro-football-reference.com/boxscores/201012060nwe.htm
2010,14,2010-12-09,8:29PM,Indianapolis Colts,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201012090oti.htm
2010,14,2010-12-12,1:02PM,Cleveland Browns,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201012120buf.htm
2010,14,2010-12-12,1:02PM,Cincinnati Bengals,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201012120pit.htm
2010,14,2010-12-12,1:02PM,Oakland Raiders,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201012120jax.htm
2010,14,2010-12-12,1:03PM,Atlanta Falcons,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201012120car.htm
2010,14,2010-12-12,1:03PM,Green Bay Packers,Detroit Lions,https://www.pro-football-reference.com/boxscores/201012120det.htm
2010,14,2010-12-12,1:03PM,Tampa Bay Buccaneers,Washington Redskins,https://www.pro-football-reference.com/boxscores/201012120was.htm
2010,14,2010-12-12,4:05PM,St. Louis Rams,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201012120nor.htm
2010,14,2010-12-12,4:05PM,Seattle Seahawks,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201012120sfo.htm
2010,14,2010-12-12,4:15PM,Denver Broncos,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/201012120crd.htm
2010,14,2010-12-12,4:15PM,Kansas City Chiefs,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201012120sdg.htm
2010,14,2010-12-12,4:15PM,Miami Dolphins,New York Jets,https://www.pro-football-reference.com/boxscores/201012120nyj.htm
2010,14,2010-12-12,4:16PM,New England Patriots,Chicago Bears,https://www.pro-football-reference.com/boxscores/201012120chi.htm
2010,14,2010-12-12,8:30PM,Philadelphia Eagles,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201012120dal.htm
2010,14,2010-12-13,7:20PM,New York Giants,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201012130min.htm
2010,14,2010-12-13,8:40PM,Baltimore Ravens,Houston Texans,https://www.pro-football-reference.com/boxscores/201012130htx.htm
2010,15,2010-12-16,8:20PM,San Francisco 49ers,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201012160sdg.htm
2010,15,2010-12-19,1:00PM,Kansas City Chiefs,St. Louis Rams,https://www.pro-football-reference.com/boxscores/201012190ram.htm
2010,15,2010-12-19,1:02PM,Buffalo Bills,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201012190mia.htm
2010,15,2010-12-19,1:02PM,Cleveland Browns,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201012190cin.htm
2010,15,2010-12-19,1:02PM,Jacksonville Jaguars,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201012190clt.htm
2010,15,2010-12-19,1:02PM,Houston Texans,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201012190oti.htm
